Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min,"Scoped Accuracy, %",Biotic Grenade Kills / 10min,Enemies Slept / 10min,Healing Amplified / 10min,Nano Boost Assists / 10min,Blaster Kills / 10min,Damage Amplified / 10min,Players Resurrected / 10min,"Weapon Accuracy, %","Crit Accuracy, %",Kunai Kills / 10min,Effects Cleansed / 10min,Kitsune Rush Assists / 10min,Final Blows / 10min,Solo Kills / 10min,Swift Strike Resets / 10min,Damage Reflected / 10min,Ultimates Reflected / 10min,Dragonblade Kills / 10min,Ultimates Reflected,Deadeye Kills / 10min,Magnetic Grenade Attaches,Magnetic Grenade Kills / 10min,"Secondary Accuracy, %",Biotic Orb Kills / 10min,"Ally Coalescence Efficiency, %","Enemy Coalescence Efficiency, %",Coalescence Kills / 10min,Objective Contest Time / 10min,Charge Kills / 10min,Fire Strike Kills / 10min,Earthshatter Kills / 10min,Scoped Crits,Recon Assists / 10min,Venom Mine Kills / 10min,Knockbacks / 10min,Sound Barriers / 10min,"Helix Rocket Accuracy, %",Long Range Kills / 10min,Helix Rocket Kills / 10min,Tactical Visor Kills / 10min,Storm Arrow Kills / 10min,Dragonstrike Kills / 10min,"Charged Volley Accuracy, %",Charged Volley Kills / 10min,Transcendence Healing / 10min,"Micro Missile Kills, % / 10min",Call Mech Kills / 10min,Self-Destruct Kills / 10min,Self Healing / 10min,Chain Hook Kills / 10min,"Chain Hook Accuracy, %",Whole Hog Kills / 10min,Direct Hits,Concussion Mine Kills / 10min,Enemies Trapped / 10min,Rip Tire Kills,Low Health Recalls / 10min,Pulse Bombs Stuck / 10min,Pulse Bomb Kills / 10min,Coach Gun Kills / 10min,Dynamite Kills / 10min,Bob Kills / 10min,Energy Javelin Kills / 10min,Javelin Spin Kills,Terra Surge Kills / 10min,"Primary Accuracy, %",High Energy Kills / 10min,"Average Energy, %",Graviton Surge Kills / 10min,Death Blossom Kills / 10min,"Charged Shot Accuracy, %","Charged Crit Accuracy, %",Charged Shot Kills / 10min,Disruptor Shot Kills / 10min,Overclock Kills / 10min,"Airtime, %",Barrage Kills / 10min,Healing Accuracy,Deaths Prevented / 10min,Amp Matrix Assists / 10min,Jump Pack Kills / 10min,Primal Rage Kills / 10min,Accretion Kills / 10min,Overhealth / 10min,Gravitic Flux Kills / 10min,Rocket Punch Kills / 10min,Seismic Slam Kills / 10min,Meteor Strike Kills / 10min,Inspire Uptime,Self Healing,Recon Kills / 10min,Assault Kills / 10min,Tactical Grenade Kills / 10min,Artillery Kills / 10min,"Icicle Accuracy, % / 10min","Icicle Crit Accuracy, % / 10min",Enemies Frozen / 10min,Blizzard Kills / 10min,Hammer Kills / 10min,Turret Kills / 10min,Molten Core Kills / 10min,Average Damage Multiplier,Players Teleported / 10min,Sentry Turret Kills / 10min,Enemies Hacked / 10min,Low Health Teleports / 10min,EMP Kills / 10min,Grappling Claw Kills / 10min,Piledriver Kills / 10min,Minefield Kills,"Jagged Blade Accuracy, %",Carnage Kills / 10min,"Wound Uptime, %",Rampage Kills / 10min,"Focusing Beam Accuracy, %",Focusing Beam Kills / 10min,"Sticky Bomb Accuracy, %",Sticky Bomb Kills / 10min,Duplicate Kills / 10min,Role
Ana,All,3.60,8.66,49.73,8.45,3.83,65,2357,7648,6.66,54,4.15,4.60,356.26,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Ana,Bronze,3.35,8.09,46.03,7.88,3.85,65,2269,7363,6.96,53,3.99,4.60,348.29,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Ana,Silver,3.42,6.00,46.19,8.13,3.80,65,2314,7443,6.94,52,4.07,4.70,362.12,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Ana,Gold,3.59,8.40,49.40,8.39,3.90,65,2327,7710,6.75,54,4.22,4.61,358.21,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Ana,Platinum,3.49,6.59,46.78,8.08,3.96,67,2238,7734,6.87,53,4.24,4.69,367.58,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Ana,Diamond,3.42,6.35,44.58,7.93,3.86,67,2246,7666,6.95,53,4.13,4.70,355.81,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Ana,Master,3.37,6.21,44.10,7.83,3.79,66,2236,7633,7.00,53,4.08,4.68,359.82,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Ana,Grandmaster,3.37,5.57,42.50,7.87,3.88,66,2237,7560,7.03,52,4.12,4.70,360.14,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,All,3.31,9.14,51.00,1.82,0.81,55,289,8833,7.28,,,,,,1.79,799.05,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Bronze,2.98,7.14,44.11,1.77,0.88,59,288,8907,7.55,,,,,,1.76,686.16,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
