Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min,"Scoped Accuracy, %",Biotic Grenade Kills / 10min,Enemies Slept / 10min,Healing Amplified / 10min,Nano Boost Assists / 10min,Blaster Kills / 10min,Damage Amplified / 10min,Players Resurrected / 10min,"Weapon Accuracy, %","Crit Accuracy, %",Kunai Kills / 10min,Effects Cleansed / 10min,Kitsune Rush Assists / 10min,Final Blows / 10min,Solo Kills / 10min,Swift Strike Resets / 10min,Damage Reflected / 10min,Ultimates Reflected / 10min,Dragonblade Kills / 10min,Deadeye Kills / 10min,Magnetic Grenade Attaches,Magnetic Grenade Kills / 10min,"Secondary Accuracy, %",Biotic Orb Kills / 10min,"Ally Coalescence Efficiency, %","Enemy Coalescence Efficiency, %",Coalescence Kills / 10min,Objective Contest Time / 10min,Charge Kills / 10min,Fire Strike Kills / 10min,Earthshatter Kills / 10min,Scoped Crits,Recon Assists / 10min,Venom Mine Kills / 10min,Knockbacks / 10min,Sound Barriers / 10min,"Helix Rocket Accuracy, %",Long Range Kills / 10min,Helix Rocket Kills / 10min,Tactical Visor Kills / 10min,Storm Arrow Kills / 10min,Dragonstrike Kills / 10min,"Charged Volley Accuracy, %",Charged Volley Kills / 10min,Transcendence Healing / 10min,"Micro Missile Kills, % / 10min",Call Mech Kills / 10min,Self-Destruct Kills / 10min,Self Healing / 10min,Chain Hook Kills / 10min,"Chain Hook Accuracy, %",Whole Hog Kills / 10min,Direct Hits,Concussion Mine Kills / 10min,Enemies Trapped / 10min,Rip Tire Kills,Low Health Recalls / 10min,Pulse Bombs Stuck / 10min,Pulse Bomb Kills / 10min,Coach Gun Kills / 10min,Dynamite Kills / 10min,Bob Kills / 10min,Energy Javelin Kills / 10min,Javelin Spin Kills / 10min,Terra Surge Kills / 10min,"Primary Accuracy, %",High Energy Kills / 10min,"Average Energy, %",Graviton Surge Kills / 10min,Death Blossom Kills / 10min,"Charged Shot Accuracy, %","Charged Crit Accuracy, %",Charged Shot Kills / 10min,Disruptor Shot Kills / 10min,Overclock Kills / 10min,"Airtime, %",Barrage Kills / 10min,Healing Accuracy,Deaths Prevented / 10min,Amp Matrix Assists / 10min,Jump Pack Kills / 10min,Primal Rage Kills / 10min,Accretion Kills / 10min,Overhealth / 10min,Gravitic Flux Kills / 10min,Rocket Punch Kills / 10min,Seismic Slam Kills / 10min,Meteor Strike Kills / 10min,Inspire Uptime,Self Healing,Recon Kills / 10min,Assault Kills / 10min,Tactical Grenade Kills / 10min,Artillery Kills / 10min,"Icicle Accuracy, % / 10min","Icicle Crit Accuracy, % / 10min",Enemies Frozen / 10min,Blizzard Kills / 10min,Hammer Kills / 10min,Turret Kills / 10min,Molten Core Kills / 10min,Average Damage Multiplier,Players Teleported / 10min,Sentry Turret Kills / 10min,Enemies Hacked / 10min,Low Health Teleports / 10min,EMP Kills / 10min,"Pummel Accuracy, %",Pummel Kills / 10min,Ravenous Vortex Kills / 10min,Annihilation Kills / 10min,Grappling Claw Kills / 10min,Piledriver Kills / 10min,Minefield Kills,"Jagged Blade Accuracy, %",Carnage Kills / 10min,"Wound Uptime, %",Rampage Kills / 10min,"Focusing Beam Accuracy, %",Focusing Beam Kills / 10min,"Sticky Bomb Accuracy, %",Sticky Bomb Kills / 10min,Duplicate Kills / 10min,Role
Ana,All,4.47,10.13,50.44,9.68,4.24,64,2714,8459,6.20,56,4.97,5.35,450.19,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Ana,Bronze,4.15,5.82,45.17,8.98,4.09,61,2622,7867,6.62,53,4.54,5.09,435.47,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Ana,Silver,4.32,7.60,48.71,9.34,4.18,63,2633,8125,6.43,54,4.75,5.22,443.22,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Ana,Gold,4.58,10.84,49.92,9.74,4.32,63,2713,8512,6.18,56,5.02,5.36,453.72,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Ana,Platinum,4.67,13.50,50.59,9.87,4.24,62,2782,8667,6.08,57,5.12,5.55,460.21,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Ana,Diamond,4.59,12.91,50.56,9.40,4.05,60,2694,8478,6.25,56,4.82,5.33,453.13,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Ana,Master,4.57,11.77,50.46,9.43,4.07,59,2712,8406,6.29,55,4.83,5.32,446.44,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Ana,Grandmaster,4.58,9.37,47.88,9.26,4.11,59,2681,8248,6.41,54,4.73,5.30,447.70,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,All,3.98,6.59,49.89,2.02,0.85,53,366,8921,6.35,,,,,,2.00,990.80,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Bronze,3.55,4.78,41.96,2.07,0.99,58,368,8731,6.97,,,,,,2.05,799.41,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
